Company Symbol,Market Cap,Authorized Shares,Outstanding Shares,Par Value,SEC Filings,Address,Website,Phone,Email,Audited Financials,Latest Report,Fiscal Year End,Company Officers,BOARD OF DIRECTORS,Employees
ARHZS,,,,,05/02/2024,"250 Lafayette Street 2nd Floor New York, NY 10012",rallyrd.com,+1 347-952-8058,,,,Dec-31,,,
ARIFF,,,,,,,,,,,,,,,
ARIXF,,,,,,,,,,,,,,,
ARIZF,"377,007",,"53,858,165",,06/30/2008,"Suite 1640 - 1066 West Hastings Street Vancouver, BC V6E 3X1 Canada",www.krl.net,604-689-0299,info@krl.net,,05/31/2007,,"Seamus Young (President), Alex Hamilton (Secretary)",,
ARKAF,"7,819,734,721",,"76,409,368",,,"420, rue d'Estienne d'Orves Colombes Cedex 92705 France",www.arkema.com,+33 (0)1 49 00 7463,investor-relations@arkema.com,Audited,,Dec-31,"Thierry Le Henaff (CEO), Thierry Lemonnier (CFO)",,"15,194 as of 12/31/2007"
ARKAY,"7,355,318,582",,"76,409,368",,,"420, rue d'Estienne d'Orves Colombes Cedex 92705 France",www.arkema.com,+33 (0)1 49 00 7463,investor-relations@arkema.com,Audited,,Dec-31,"Thierry Le Henaff (CEO), Thierry Lemonnier (CFO)",,"15,194 as of 12/31/2007"
ARKPS,,,,,,,,,,Audited,,Dec-31,,,
ARLLF,,,,,,,,,,,,,,,
ARLSF,"3,537,408",Unlimited,"26,758,001",,,"1130 West Pender Street Suite 820 Vancouver, BC V6E 4A4 Canada",argolivingsoils.com,604-961-2877,peter.hoyle@shaw.ca,,,Nov-30,"Ken Bowman (Chief Agricultural Officer), Peter J Hoyle (CFO, Corporate Secretary, CEO), Yanika Silina (Consultant), Alita Cerra (Contact Person), Karen Cheng (Legal Asst.)","Ken Bowman, Hector Diakaw, Peter J Hoyle, Michael Uhm",0 as of 12/26/2023
ARLTF,,,,,,"Suite 12, Gateway Hub, Shannon Airport House, Shannon, V14 E370 Ireland",arcadiumlithium.com,353 1 6875238,IR@arcadiumlithium.com,Audited,03/31/2024,Dec-31,,,
ARLUF,"20,033,509,344",,"637,400,870",,,"Building A, Pinnacle Office Park 85 Epping Road North Ryde, NSW 1670 Australia",www.aristocrat.com.au,+61 2 9013 6000,investor.relations@aristocrat.com,Audited,,Sep-30,"Jamie Odell (CEO), Toni Korsanos (CFO)",,
ARMC,"980,495","90,000,000","64,933,466",0.001,03/31/2024,"1-45A West Wilmot St Richmond Hill, ON L5V 2J4 Canada",www.oneworldeducation.ca,1-905-962-0823,,Audited,05/09/2024 8K Report,Dec-31,"Ci Zhang (CEO, President), Changjun Xue (CFO, Secretary), Jimmy P Poay Lee (CPA), Bingqiang Xie (Treasurer)","Bingqiang Xie, Changjun Xue",0 as of 09/27/2021
ARME,"4,517","100,000,000","45,171,681",0.001,,"201 Lomas Santa Fe Suite #420 Solana Beach, CA 92075",,(858) 720-0123,,,,Jun-30,"Merrill W Moses (President, CEO, CFO)",,
ARMM,"1,180,515","250,000,000","118,051,514",0.0001,06/30/2023,"1859 Whitney Mesa Drive Henderson, NV 89014",www.armmlife.com,+1 972-464-1904,info@armmlife.com,Audited,,Dec-31,Ralph F. Proceviat (CFO),Nico Oliver Civelli,0 as of 08/01/2022
ARMV,"61,200","75,000,000","12,240,000",0.001,,"7260 W. Azure Dr. Suite 140-928 Las Vegas, NV 89130",www.armaoffsets.com,725-235-7766,Info@armaoffsets.com,Audited,07/31/2023,Oct-31,"Maria Teresa Tattersfield (Secretary), Eric Eastwood Nixon (CEO, President), Kristina Chams (Administrator), Michael Strizzi (Consultant)","Eric Eastwood Nixon, Eduardo Piqueiro, Alberto Ramirez, Maria Teresa Tattersfield",12 as of 10/06/2022
ARMVF,,,,,,,www.atriumreit.com.my,,,,,,,,
ARNGF,"399,507,472",,"1,269,083,456",,,"9600 Prototype Court Reno, NV 89521",www.argonautgold.com/English/home/default.,775-284 4422,,Audited,,Dec-31,"Peter A. Dougherty (President, CEO), David A. Ponczoch (CFO), Nichole Cowles (IR)",,
ARNI,"14,805","500,000,000","49,349,749",,,"20550 SW 115th Ave Tualatin, OR 97062",www.arnothera.com,(503) 598-6659,info@arnothera.com,,09/30/2016,Dec-31,"Alexander Zukiwski (CEO, Chief Med. Officer), Lester Szymanik (Director, Fin.)",,4 as of 03/31/2016
ARNMF,,,"309,873,237",,,"3 Byfield Street, Macquarie Park Sydney, NSW 2113 Australia",arn.com.au,+61 2 8899 9999,,Audited,,Dec-31,,,
ARNNY,,,,,,,,,,,,,,,
AROAF,,,"342,917,000",,,"64 Richard Pearse Drive, Airport Oaks Mangere, Auckland 2022 New Zealand",aroa.com,+64 9 869 3035,investor@aroabio.com,Audited,,Mar-31,,,
ARPC,"1,121,852","500,000,000","373,950,544",1.00E-06,03/31/2024,271 Blackburn Road Mount Waverly Victoria 3149 Australia,www.arempac.com,(61) 393955324,aremtang@yahoo.com,Unaudited,03/31/2024,Jun-30,"Dr. Thomas Tang (President), Keith Wong (Consultant)","Rocky Scarpari, Dr. Thomas Tang",1 as of 07/23/2012
ARPRF,,,,,,333 Moo 7 Cherdwutugard Road Srikan Don Muang Bangkok 10210 Thailand,www.airportthai.co.th,+66 (0) 2535 1192,aotpr@airportthai.co.th,Audited,,Sep-30,,"Sumet Photimanee, Sita Divari",
